gender,age,height,weight
여,32,1669,54.5
여,33,1608,56.3
여,34,1625,71.8
여,68,1536,72.3
여,67,1504,59
여,33,1613,53.9
여,64,1552,62.6
여,42,1580,67.3
여,30,1630,47
여,26,1535,49.9
여,35,1575,50.9
여,63,1549,67.9
여,49,1618,63.5
여,56,1520,56.6
여,48,1641,62.5
여,50,1606,56.7
여,51,1660,74.6
여,18,1688,52.5
여,33,1597,66.3
여,63,1505,48.2
여,62,1518,59.4
여,51,1626,65.1
여,57,1558,53.8
여,34,1536,53.7
여,46,1553,60.2
여,54,1538,48.6
여,56,1568,58.2
여,57,1496,75.1
여,27,1544,42.7
여,63,1470,56.2
여,57,1654,54.6
여,40,1561,51
여,41,1559,51.8
여,59,1594,59.1
여,33,1605,54.9
여,48,1527,41.5
여,61,1510,67
여,60,1506,62.3
여,56,1600,75.6
여,29,1704,66.7
여,17,1640,50.5
여,39,1600,60.3
여,38,1581,47.3
여,64,1462,53.5
여,35,1630,52.6
여,44,1540,57.1
여,61,1531,70.1
여,43,1669,85.6
여,35,1627,62.1
여,22,1621,53.2
여,47,1565,65.5
여,43,1580,49.7
여,60,1570,67.3
여,51,1530,49.7
여,43,1552,52.4
여,48,1567,59.2
여,20,1678,58.5
여,55,1476,47.6
여,66,1575,49.5
여,20,1732,60.3
여,52,1573,57.7
여,54,1495,50.4
여,55,1529,61.1
여,54,1570,51.8
여,55,1477,40
여,55,1522,52.8
여,60,1499,61.8
여,46,1569,49.1
여,45,1547,47.8
여,65,1486,68.4
여,34,1570,48.5
여,42,1620,65.8
여,34,1630,47.4
여,62,1535,47.7
여,36,1646,57.9
여,40,1601,52.7
여,33,1675,67.2
여,40,1554,52
여,36,1632,52.2
여,37,1662,76.6
여,61,1505,46.4
여,34,1621,56.8
여,53,1505,54
여,65,1610,69.4
여,39,1604,55.7
여,61,1519,70.5
여,59,1515,62.2
여,45,1635,60.8
여,56,1560,51.2
여,30,1619,54.9
여,50,1557,52.4
여,48,1494,56
여,44,1628,59.3
